,filename,language,algorithm,algorithm_name
0,bubble_sort.py,py,sort,bubble_sort
1,bubble_sort.py,py,sort,bubble_sort
2,bubble_sort.py,py,sort,bubble_sort
3,bubble_sort.py,py,sort,bubble_sort
4,bubble_sort.py,py,sort,bubble_sort
5,bubble_sort.py,py,sort,bubble_sort
6,bubble_sort.py,py,sort,bubble_sort
7,bubble_sort.py,py,sort,bubble_sort
8,bubble_sort.py,py,sort,bubble_sort
9,bubble_sort.py,py,sort,bubble_sort
10,bubble_sort.py,py,sort,bubble_sort
11,bubble_sort.py,py,sort,bubble_sort
12,bubble_sort.py,py,sort,bubble_sort
13,bubble_sort.py,py,sort,bubble_sort
14,bubble_sort.py,py,sort,bubble_sort
15,bubble_sort.py,py,sort,bubble_sort
16,bubble_sort.py,py,sort,bubble_sort
17,bubble_sort.py,py,sort,bubble_sort
18,bubble_sort.py,py,sort,bubble_sort
19,bubble_sort.py,py,sort,bubble_sort
20,bubble_sort.py,py,sort,bubble_sort
21,bubble_sort.py,py,sort,bubble_sort
22,bubble_sort.py,py,sort,bubble_sort
23,bubble_sort.py,py,sort,bubble_sort
24,bubble_sort.py,py,sort,bubble_sort
25,bubble_sort.py,py,sort,bubble_sort
26,bubble_sort.py,py,sort,bubble_sort
27,bubble_sort.py,py,sort,bubble_sort
28,bubble_sort.py,py,sort,bubble_sort
29,bubble_sort.py,py,sort,bubble_sort
30,bubble_sort.py,py,sort,bubble_sort
31,bubble_sort.py,py,sort,bubble_sort
32,bubble_sort.py,py,sort,bubble_sort
33,bubble_sort.py,py,sort,bubble_sort
34,bubble_sort.py,py,sort,bubble_sort
35,bubble_sort.py,py,sort,bubble_sort
36,bubble_sort.py,py,sort,bubble_sort
37,bubble_sort.py,py,sort,bubble_sort
38,bubble_sort.py,py,sort,bubble_sort
39,bubble_sort.py,py,sort,bubble_sort
40,bubble_sort.py,py,sort,bubble_sort
41,bubble_sort.py,py,sort,bubble_sort
42,bubble_sort.py,py,sort,bubble_sort
43,bubble_sort.py,py,sort,bubble_sort
44,bubble_sort.py,py,sort,bubble_sort
45,bubble_sort.py,py,sort,bubble_sort
46,bubble_sort.py,py,sort,bubble_sort
47,bubble_sort.py,py,sort,bubble_sort
48,bubble_sort.py,py,sort,bubble_sort
49,bubble_sort.py,py,sort,bubble_sort
50,bubble_sort.py,py,sort,bubble_sort
51,bubble_sort.py,py,sort,bubble_sort
52,bubble_sort.py,py,sort,bubble_sort
53,bubble_sort.py,py,sort,bubble_sort
54,bubble_sort.py,py,sort,bubble_sort
55,bubble_sort.py,py,sort,bubble_sort
56,bubble_sort.py,py,sort,bubble_sort
57,bubble_sort.py,py,sort,bubble_sort
58,bubble_sort.py,py,sort,bubble_sort
59,bubble_sort.py,py,sort,bubble_sort
60,bubble_sort.py,py,sort,bubble_sort
61,bubble_sort.py,py,sort,bubble_sort
62,bubble_sort.py,py,sort,bubble_sort
63,bubble_sort.py,py,sort,bubble_sort
64,bubble_sort.py,py,sort,bubble_sort
65,bubble_sort.py,py,sort,bubble_sort
66,bubble_sort.py,py,sort,bubble_sort
67,bubble_sort.py,py,sort,bubble_sort
68,bubble_sort.py,py,sort,bubble_sort
69,bubble_sort.py,py,sort,bubble_sort
70,bubble_sort.py,py,sort,bubble_sort
71,bubble_sort.py,py,sort,bubble_sort
72,bubble_sort.py,py,sort,bubble_sort
73,bubble_sort.py,py,sort,bubble_sort
74,bubble_sort.py,py,sort,bubble_sort
75,bubble_sort.py,py,sort,bubble_sort
76,bubble_sort.py,py,sort,bubble_sort
77,bubble_sort.py,py,sort,bubble_sort
78,bubble_sort.py,py,sort,bubble_sort
79,bubble_sort.py,py,sort,bubble_sort
80,bubble_sort.py,py,sort,bubble_sort
81,bubble_sort.py,py,sort,bubble_sort
82,bubble_sort.py,py,sort,bubble_sort
83,bubble_sort.py,py,sort,bubble_sort
84,bubble_sort.py,py,sort,bubble_sort
85,bubble_sort.py,py,sort,bubble_sort
86,bubble_sort.py,py,sort,bubble_sort
87,bubble_sort.py,py,sort,bubble_sort
88,bubble_sort.py,py,sort,bubble_sort
89,bubble_sort.py,py,sort,bubble_sort
90,bubble_sort.py,py,sort,bubble_sort
91,bubble_sort.py,py,sort,bubble_sort
92,bubble_sort.py,py,sort,bubble_sort
93,bubble_sort.py,py,sort,bubble_sort
94,bubble_sort.py,py,sort,bubble_sort
95,bubble_sort.py,py,sort,bubble_sort
96,bubble_sort.py,py,sort,bubble_sort
97,bubble_sort.py,py,sort,bubble_sort
98,bubble_sort.py,py,sort,bubble_sort
99,bubble_sort.py,py,sort,bubble_sort
100,bubble_sort.py,py,sort,bubble_sort
101,quick_sort.py,py,sort,quick_sort
102,quick_sort.py,py,sort,quick_sort
103,quick_sort.py,py,sort,quick_sort
104,quick_sort.py,py,sort,quick_sort
105,quick_sort.py,py,sort,quick_sort
106,quick_sort.py,py,sort,quick_sort
107,quick_sort.py,py,sort,quick_sort
108,quick_sort.py,py,sort,quick_sort
109,quick_sort.py,py,sort,quick_sort
110,quick_sort.py,py,sort,quick_sort
111,quick_sort.py,py,sort,quick_sort
112,quick_sort.py,py,sort,quick_sort
113,quick_sort.py,py,sort,quick_sort
114,quick_sort.py,py,sort,quick_sort
115,quick_sort.py,py,sort,quick_sort
116,quick_sort.py,py,sort,quick_sort
117,quick_sort.py,py,sort,quick_sort
118,quick_sort.py,py,sort,quick_sort
119,quick_sort.py,py,sort,quick_sort
120,quick_sort.py,py,sort,quick_sort
121,quick_sort.py,py,sort,quick_sort
122,quick_sort.py,py,sort,quick_sort
123,quick_sort.py,py,sort,quick_sort
